Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,CountOfMismatches,PrevGenCountOfMismatches,ChangeInMismatches,ExpTransformerIsSyntaxFree
10550:10689-Analysis-FREE,10689,Generation-5,10662,Generation-4,10550,4,4,0.00,0,0,0.00000,0,0,0,1
10550:10706-Analysis-FREE,10706,Generation-6,10689,Generation-5,10550,4,4,0.00,0,0,0.00000,0,0,0,1
10551:10551-Analysis-FREE,10551,Generation-1,,,10551,4,,0.00,1,,0.00000,0,,0,1
10551:10579-Analysis-FREE,10579,Generation-2,10551,Generation-1,10551,4,4,0.00,1,1,0.00000,0,0,0,1
10551:10630-Analysis-FREE,10630,Generation-3,10579,Generation-2,10551,4,4,0.00,1,1,0.00000,0,0,0,1
10551:10659-Analysis-FREE,10659,Generation-4,10630,Generation-3,10551,1,4,-3.00,0,1,-1.00000,0,0,0,1
10551:10694-Analysis-FREE,10694,Generation-5,10659,Generation-4,10551,4,1,3.00,0,0,0.00000,0,0,0,1
10551:10709-Analysis-FREE,10709,Generation-6,10694,Generation-5,10551,4,4,0.00,1,0,1.00000,0,0,0,1
10552:10552-Analysis-FREE,10552,Generation-1,,,10552,4,,0.00,2,,0.00000,0,,0,1
10552:10594-Analysis-FREE,10594,Generation-2,10552,Generation-1,10552,4,4,0.00,1,2,-1.00000,0,0,0,1
10552:10624-Analysis-FREE,10624,Generation-3,10594,Generation-2,10552,4,4,0.00,0,1,-1.00000,0,0,0,1
10552:10672-Analysis-FREE,10672,Generation-4,10624,Generation-3,10552,4,4,0.00,0,0,0.00000,0,0,0,1
10552:10679-Analysis-FREE,10679,Generation-5,10672,Generation-4,10552,4,4,0.00,1,0,1.00000,0,0,0,1
10552:10700-Analysis-FREE,10700,Generation-6,10679,Generation-5,10552,4,4,0.00,0,1,-1.00000,0,0,0,1
10553:10553-Analysis-FREE,10553,Generation-1,,,10553,4,,0.00,0,,0.00000,0,,0,1
10553:10582-Analysis-FREE,10582,Generation-2,10553,Generation-1,10553,4,4,0.00,0,0,0.00000,0,0,0,1
10553:10632-Analysis-FREE,10632,Generation-3,10582,Generation-2,10553,4,4,0.00,0,0,0.00000,0,0,0,1
10553:10671-Analysis-FREE,10671,Generation-4,10632,Generation-3,10553,4,4,0.00,4,0,4.00000,0,0,0,1
10553:10696-Analysis-FREE,10696,Generation-5,10671,Generation-4,10553,5,4,1.00,0,4,-4.00000,0,0,0,1
10553:10717-Analysis-FREE,10717,Generation-6,10696,Generation-5,10553,4,5,-1.00,3,0,3.00000,0,0,0,1
10554:10554-Analysis-FREE,10554,Generation-1,,,10554,4,,0.00,0,,0.00000,0,,0,1
10554:10598-Analysis-FREE,10598,Generation-2,10554,Generation-1,10554,4,4,0.00,0,0,0.00000,0,0,0,1
10554:10619-Analysis-FREE,10619,Generation-3,10598,Generation-2,10554,4,4,0.00,2,0,2.00000,0,0,0,1
10554:10668-Analysis-FREE,10668,Generation-4,10619,Generation-3,10554,4,4,0.00,0,2,-2.00000,0,0,0,1
10554:10695-Analysis-FREE,10695,Generation-5,10668,Generation-4,10554,4,4,0.00,0,0,0.00000,0,0,0,1
10554:10710-Analysis-FREE,10710,Generation-6,10695,Generation-5,10554,4,4,0.00,0,0,0.00000,0,0,0,1
10555:10555-Analysis-FREE,10555,Generation-1,,,10555,4,,0.00,2,,0.00000,0,,0,1
10555:10585-Analysis-FREE,10585,Generation-2,10555,Generation-1,10555,4,4,0.00,0,2,-2.00000,0,0,0,1
10555:10631-Analysis-FREE,10631,Generation-3,10585,Generation-2,10555,4,4,0.00,1,0,1.00000,0,0,0,1
10555:10663-Analysis-FREE,10663,Generation-4,10631,Generation-3,10555,5,4,1.00,0,1,-1.00000,0,0,0,1
10555:10685-Analysis-FREE,10685,Generation-5,10663,Generation-4,10555,4,5,-1.00,1,0,1.00000,0,0,0,1
10555:10716-Analysis-FREE,10716,Generation-6,10685,Generation-5,10555,4,4,0.00,0,1,-1.00000,0,0,0,1
10556:10556-Analysis-FREE,10556,Generation-1,,,10556,4,,0.00,0,,0.00000,0,,0,1
10556:10590-Analysis-FREE,10590,Generation-2,10556,Generation-1,10556,5,4,1.00,0,0,0.00000,0,0,0,1
10556:10635-Analysis-FREE,10635,Generation-3,10590,Generation-2,10556,6,5,1.00,0,0,0.00000,0,0,0,1
10556:10676-Analysis-FREE,10676,Generation-4,10635,Generation-3,10556,6,6,0.00,0,0,0.00000,0,0,0,1
10556:10690-Analysis-FREE,10690,Generation-5,10676,Generation-4,10556,6,6,0.00,1,0,1.00000,0,0,0,1
10556:10704-Analysis-FREE,10704,Generation-6,10690,Generation-5,10556,6,6,0.00,1,1,0.00000,0,0,0,1
10557:10557-Analysis-FREE,10557,Generation-1,,,10557,4,,0.00,1,,0.00000,0,,0,1
10557:10581-Analysis-FREE,10581,Generation-2,10557,Generation-1,10557,4,4,0.00,1,1,0.00000,0,0,0,1
10557:10626-Analysis-FREE,10626,Generation-3,10581,Generation-2,10557,4,4,0.00,1,1,0.00000,0,0,0,1
10557:10673-Analysis-FREE,10673,Generation-4,10626,Generation-3,10557,4,4,0.00,0,1,-1.00000,0,0,0,1
10557:10687-Analysis-FREE,10687,Generation-5,10673,Generation-4,10557,4,4,0.00,1,0,1.00000,0,0,0,1
10557:10699-Analysis-FREE,10699,Generation-6,10687,Generation-5,10557,4,4,0.00,1,1,0.00000,0,0,0,1
10558:10558-Analysis-FREE,10558,Generation-1,,,10558,4,,0.00,0,,0.00000,0,,0,1
10558:10596-Analysis-FREE,10596,Generation-2,10558,Generation-1,10558,2,4,-2.00,0,0,0.00000,0,0,0,1
10558:10633-Analysis-FREE,10633,Generation-3,10596,Generation-2,10558,4,2,2.00,0,0,0.00000,0,0,0,1
10558:10675-Analysis-FREE,10675,Generation-4,10633,Generation-3,10558,4,4,0.00,3,0,3.00000,0,0,0,1
10558:10684-Analysis-FREE,10684,Generation-5,10675,Generation-4,10558,4,4,0.00,0,3,-3.00000,0,0,0,1
10558:10708-Analysis-FREE,10708,Generation-6,10684,Generation-5,10558,4,4,0.00,3,0,3.00000,0,0,0,1
